,SELFIES,Epoch
0,CCCCCNC(=O)NCCCC(C)(O)SC(C)NC=O,1
1,CCCCOCCC(=O)C=O,1
2,CNCC(C)CC1NCCC=CC=C1S(C)NC(=O)OCCNC(=O)OC=CC=CC=CC(CNOOOC)CCC(C)CC=C(O)OCCCOCCN(C)CNCNCS2CC=CC=C2NC(=O)NCCCOC=CC=C=NSS(C)SCNC(=O)C=O,1
3,C(C)NCC(C1)NC(=O)NCC=CC=C1SS(=O)(=O)CNC(=O)C(C)=C(SC(=O)C(=O)ON)C(C)NCC(=O)C=O,1
4,CCNCONCOC(C)SNCCNCNCCNC=O,1
5,CSCC(C)C(C)NCOCC(C)CC1=CC=CC=C1N(C)SCCNCS(C)CNC(=O)CC=C(CSC(C)SC=O)CC(=O)NC=CC=CCS(=O)OC=CC=C2C=C(C)SCCNC(=O)C2(N)SC(=O)OCCSC3=CC=CC=C3CSSCNCC,1
6,CCNC(=O)C=CC=CC=CF,1
7,COCOCNC(=O)C=CC=C(NNC=O)CSCC(C)NC=O,1
8,CCSC(=O)CSCCNCCC=CCF,1
9,CC(C)CCNC=O,1
10,CCC=CC=CC=C(CCN(O)CCC)C=CC=C1C=CC=C(S)C1(C)(SCCCC=CC=CCN2C(C=CC=C2COC=CC=CC#C)C(=O)CC=C(O)SC=O),1
11,CSCCC=O,1
12,CC(C)CCNCCCCCSOCOCC(C)CCCC=CCSCC(C)NC(=O)OC(C)NC=O,1
13,CC(C)OCF,1
14,CCC(C)C=CC=C1C=NCSCCC(S)=C1ONS(=O)=O,1
15,CCNCCCCCCCCCCC(C)NCCCCC(=O)SCC=CC=CCNCC(C)=O,1
16,CCCC(C1)CC=CC=C1F,1
17,CSOCCNC=O,1
18,CCNCCNCCOCC(C)CNC(=O)C=CC=CC=C(C)NCN(C)C=O,1
19,CC=CC=CC=C(N)NC=O,1
20,CNCCCC(C)CC1C=CCCC=CC2=CC=C1C(C)=C(C)OOOCC(C)=C2OF,1
21,COCCCSC(C)NCCOCCC2C1=CC=CC=C1C(=O)C2(NCNCNCC(=O)NC=O)CC(C)NCC(=O)C3=CC=CCC=C3(ONCOC(=O)C=O),1
22,CCC=CC=CC=C(O1)CSCC=C1C(=O)CNC(=O)CC=CC=C2C=C2SF,1
23,CCCCNCCCN1C(=O)C=CC=C1NCS(C)(=O)=O,1
24,CCNCC(=O)C=CC=C(C)C=O,1
25,CSNC(=O)C(C)NCC(=O)NCCCCCCCCC(C)=O,1
26,CCSCC(C)=O,1
27,CCCCNCCCCCC(C)(O)OCC=CC=CC=C(S)CC=O,1
28,C(C)(=O)C=O,1
29,CCC(C)SCSCNCCC(=O)CCCNC(=O)C(=O)N=CC=CC=CCOC(C)(O)OC(C)CNC(=O)NC=CC=CF,1
30,CC(=O)C(C)C(=O)CNCCC(=O)C=CC=C(O)C=O,1
31,CNC(C)CNC=O,1
32,CCCC1C=CC=CC=C1NC(C)(C)C#CCSCOCCSC(=O)COC=CC=C(CC(C))OCNCCOCCN=C(C=O),1
33,CCOC(=O)C=O,1
34,CCCOCNC(=O)C=O,1
35,CCNCC(=O)CCSCCCC1CC=CC=C1CSN2CC(C)=CC=C2C(C)(O3)ONC=CC=C3F,1
36,C(=O)SCCC(C)CCNCCNC(=O)CC(N)OCC(=O)CNC(=O)NC=CC=CC=C(O)C=O,1
37,CCCNC(=O)COCC(C)C(C)NC(=O)CNC=C1C=C(S(N)C(O))C(C)=C1(CCSCC(C)(O)NCC2=CC=CC=C2CN(O)C=O),1
38,C1CC=CC=C1CS(C)N(O)C=O,1
39,CC=CCC(C)CCCNCCSC=CC=C(O)NC(=O)C=O,1
40,CCCCOCCCCCC(C)N1CCC=CC=C1SNC(=O)OCCC=CF,1
41,CCC(=O)S(=O)C=CC=C(CCSC(C)S)CNCNC(=O)C=CC=C(SSOC)C=O,1
42,C1C=CC=CC=C(CC=C1(O))NCOC(C)NCCC=CC(=O)OCCC(=O)C=O,1
43,CCC1C=CCSCC(C)C=C1OSCNC=CF,1
44,C=CC=CC=CC(=O)N1C=C1OCSCC(C)NCNC=O,1
45,CCCCNCNCCCNC=O,1
46,CCSCNCC(C)CCCCCNC=O,1
47,COSC1=CC=CC=C1NNCNC(=O)NNC(=O)NC(C)NC(=O)OC=CC=NC(C)OC2=CC3=C2OSC4C=CC=C3S(C)NCC5NC(=O)OC4=C5,1
