,SELFIES,Epoch
0,O=CC1=CC=CC=C1NC(=O)CCCC=CC[NH]C(=O)C=CC=CC=C=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
1,O=C(COC1=CC=C(F)C(Cl)=C1)F,1
2,C1N2CCN(CC1=C)CCCC2(C)CC=CC=CC=C=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
3,CCC=CC[NH]C(=O)N(C=NN=C(C1=CC=CC=C1)NCCCN(C))C=O,1
4,CC=CC=C(C(CN1C=NC=C1C(=O)N3CCN(C(=O)C2=CC=CO2)C3))C=C=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
5,CCN(CC)C(=O)C(C(=O)NC=CC=C(OCNC=C[NH]C#N)C=CC=C(C1=CC=C(Cl)C=C1)N=C=NN=NN=N)=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
6,CCCCCCCCCCCCCCOC1=CC=C(C=C1C)C=O,1
7,CCCCCN2CC=NC1=CC=CC=C1S2(=O)=O,1
8,CC1=CN(C)C=C1C4(CN2C=NN=C2)C=CC=CC(F)(F)C(S(=O)(=O)C3=CC=CC(F)=C3C=C)C=C4ON=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
9,CC1=CC=CC=C1CS(=O)(=O)NC2=CC(C(F)(F)F)=CC=C2I,1
10,CCC=C(CC(=O)NCCC(C)(C(=O)OC)CCCCCOC=C)N=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
11,O=C(C(O)CN2C=C(C=CC=CC(C=CC=C(C1=CC=CC=N1)C=C))CC=C)C2=C=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
12,COC1=CC=CC=C1CC2NC(=O)CCN2C(=O)NC=CC=C(Cl)C=C=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
13,OCCCCC=CC[NH]C(CC1=CC=CC=C1C(F)(F)F)=O,1
14,COC=CC=C(CNC(=O)CCC(C(=O)OC)C(C1=CC=CC=C1OC)COC=C=NN=NN=NN=NN=N)N=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
15,CCC=CC=CN=C(C[NH]C(=O)N=CC=CC=C(OCOC1=CC=C(F)C))C1C=NC=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
16,C3C(C)CNCCC(CSC(C1=CC=CN=C1)C(=O)NCC=2C)=CSC=2CC3=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
17,N=CCC(C(=O)NC1CCNCC1C)C=O,1
18,CC=CC=C(COC=CC1=C(C=CC=C[NH]N=C(C)C(C(=O)O)=NC)OC=C1C)OCC=CS=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
19,C2OC=CC2(CCC(=O)NCCCC(NC(=O)C=CC=C1C=CC=CC1=N))C=C(C(=O))OOC=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
20,COC=CC(OCC1=CC=CC=C12)C=C(O)C=C(OC)C(OC)=C2N=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
21,COC(=O)C(CCOC(=O)C(O)CC(=O)OC(=O))NC(CCCCC(C)(C)C)CC(=O)ON=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
22,O=C(NC=C(O1)C=CC=C(Cl)C=C1S)OC=CC=C(NCC=CC=CC(F)=C)C=C=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
23,C2C(C)CC=C[NH]C(C(=O)NC=CC=C(CNC1CCOC=N))C=C(C)OC1=CC2=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
24,O=CNC2CC(O)C=1SC=CC=1C2=N[NH]C3=CC=NN3CCCC=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
25,CC1=NC=NN1C(O)=C(C2=CC=C(Cl)C=C2)NC=CC(S(=O)(=O)CCCN3CCCC3)=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
26,CCN(CC)C=CC=C(OCC(=O)NCCC2C=C(C1=CC=C(Cl)C=C1)CC2C)C=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
27,COC(=O)CCCC(CCCC=1N=C(O)[NH]C(=O)C=1F)(F)CF,1
28,N#CNCCCC1CCCCC1SCCC=CC[NH]C(C3=NN(C2=CC=CC=C2)CS3C)=CC=CC=C=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
29,CC=2[NH]C1=CC=CN=C1C=2CC(O)CCCC(=O)ON=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
30,COC=CC1=CC=CC=C1C=CC(=O)C(C)C(=O)C=C(C(=O)O)CCON=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
31,CC(=O)C=C(C)C=CSC=CC=CC#[N+]C(=O)C=CC(C)=CC=CON=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=N,1
32,O=C(NCC1N(CCCN)C1=O)CCC=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
33,CCC=NC1=CC(Cl)=CC(=C1)N(C(=O)CC3N=C(CCOC2=CC=C(O)C=C2C)N3C4COC)C=CC(CO)C4ON=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
34,COC=CC(Cl)=C(NC(C)=O)C=CC=CC(O)=CC(C(=O)NC2=CC1=CC=CC=C1C2=N)=C=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN=NN,1
